tweet_id,source,text,rating_numerator,rating_denominator,name,likes,retweets,year,month,day,p1,p2,p3,stage
892177421306343426,Twitter for Iphone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13,10,Tilly,29351,5302,2017,August,Tuesday,Chihuahua,Pekinese,papillon,
891815181378084864,Twitter for Iphone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12,10,Archie,22070,3483,2017,July,Monday,Chihuahua,malamute,kelpie,
891689557279858688,Twitter for Iphone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13,10,Darla,36962,7229,2017,July,Sunday,paper_towel,Labrador_retriever,spatula,
891327558926688256,Twitter for Iphone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12,10,Franklin,35338,7768,2017,July,Saturday,basset,English_springer,German_short-haired_pointer,
891087950875897856,Twitter for Iphone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13,10,None,17823,2602,2017,July,Saturday,Chesapeake_Bay_retriever,Irish_terrier,Indian_elephant,
890729181411237888,Twitter for Iphone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13,10,None,56907,15767,2017,July,Friday,Pomeranian,Eskimo_dog,Pembroke,
890609185150312448,Twitter for Iphone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13,10,Zoey,24546,3625,2017,July,Thursday,Irish_terrier,Irish_setter,Chesapeake_Bay_retriever,
890240255349198849,Twitter for Iphone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14,10,Cassie,27980,6103,2017,July,Wednesday,Pembroke,Cardigan,Chihuahua,doggo
890006608113172480,Twitter for Iphone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13,10,Koda,27060,6155,2017,July,Wednesday,Samoyed,Pomeranian,chow,
889880896479866881,Twitter for Iphone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13,10,Bruno,24583,4168,2017,July,Tuesday,French_bulldog,Labrador_retriever,muzzle,
889665388333682689,Twitter for Iphone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,13,10,None,42084,8354,2017,July,Tuesday,Pembroke,Cardigan,basenji,puppo
889638837579907072,Twitter for Iphone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,12,10,Ted,23698,3719,2017,July,Tuesday,French_bulldog,boxer,Staffordshire_bullterrier,
889531135344209921,Twitter for Iphone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,13,10,Stuart,13356,1884,2017,July,Monday,golden_retriever,Labrador_retriever,redbone,puppo
889278841981685760,Twitter for Iphone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,13,10,Oliver,22136,4449,2017,July,Monday,whippet,borzoi,Saluki,
888917238123831296,Twitter for Iphone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,12,10,Jim,25660,3766,2017,July,Sunday,golden_retriever,Tibetan_mastiff,Labrador_retriever,
888804989199671297,Twitter for Iphone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,13,10,Zeke,22489,3540,2017,July,Saturday,golden_retriever,Labrador_retriever,English_setter,
888554962724278272,Twitter for Iphone,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,13,10,Ralphus,17330,2879,2017,July,Saturday,Siberian_husky,Eskimo_dog,malamute,
888078434458587136,Twitter for Iphone,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,12,10,Gerald,19162,2898,2017,July,Thursday,French_bulldog,pug,bull_mastiff,
